epoch,train_vae_loss,train_ontarget_loss,train_total_loss,val_vae_loss,val_ontarget_loss,val_total_loss
1,29.766875380268292,858.6124370432221,888.3793132299985,28.50520597087803,842.5983319717296,871.1035379426077
2,27.86348052188188,865.0316445517534,892.8951259772184,27.136513107072062,849.4016075736707,876.5381206807431
3,26.579652919636903,876.1584824466012,902.7381354835248,25.575871472714553,886.8817494901986,912.4576209629131
4,25.567749574616982,872.8032172640006,898.3709657670348,24.341395628060866,870.8908394276547,895.2322350557156
5,24.99605963153442,872.5653861596437,897.5614463999179,23.855473049790113,862.2424310703989,886.0979041201889
6,24.405752836105425,873.9960430837283,898.401793627323,23.56599115627915,878.4679794365007,902.0339705927798
7,24.12392370589981,884.9726906183313,909.0966146027689,23.935762319991838,901.5182499299079,925.4540122498997
8,23.601513308369853,896.01234468685,919.6138602344391,22.00808551845266,914.2562865797835,936.2643720982361
9,23.31020806360462,887.6492606687647,910.9594705061945,21.893933160127098,892.3668922867954,914.2608254469225
10,23.126696270805247,906.2986026838777,929.4252990545003,21.6570323522767,902.8959858937903,924.553018246067
11,22.69278159313428,901.248598584773,923.9413814696992,21.213726724653103,911.8950403107476,933.1087670354008
12,22.55358275410595,908.0053178883265,930.5589016087954,20.98571351919601,889.6270031708215,910.6127166900176
13,22.194588213716393,910.1457596047841,932.3403448951415,20.56339206069263,927.9374785034454,948.500870564138
14,22.2106295136589,920.9148027975166,943.1254314687664,20.88347141550548,936.1513569624711,957.0348283779766
15,21.809754158189133,939.1916313834275,961.0013868222442,20.105041130407532,952.4746472185419,972.5796883489495
16,21.572676736567036,953.121972852602,974.6946480964065,19.918736417400304,943.9392948508158,963.8580312682161
17,21.403244864683522,940.5498911619866,961.9531384105157,19.93289710201434,956.6858473075255,976.6187444095399
18,21.269994819277265,955.3666555753143,976.6366522804874,19.753965727393307,960.01011926271,979.7640849901032
19,21.04073337099696,947.5616147949755,968.602352845828,19.327983516863924,946.9419692204721,966.2699527373358
20,21.09425000406324,939.2482541932721,960.3425045712366,19.32987935080457,956.7804390894183,976.1103184402228
21,20.65359249495065,950.8142213731094,971.4678103893015,18.96751759998834,955.8225609826495,974.7900785826379
22,20.55005924815037,941.8517009882117,962.4017598095007,18.739980650944496,932.9231373403284,951.663117991273
23,20.3612025562921,954.1939411839953,974.5551452067318,18.67836771950793,947.1514352091265,965.8298029286343
24,20.26886394246495,945.2263326802253,965.4951929131838,18.558520407605528,951.911255300451,970.4697757080564
25,20.122001674711033,948.8952791631465,969.0172800325583,18.40935397475513,941.9151683625461,960.3245223373012
26,19.999980294194646,951.6054127568895,971.6053929514329,18.175379975731694,969.9072570195239,988.0826369952555
27,19.99779408176814,957.5953473416213,977.5931453606612,17.99090528801306,950.2208981505988,968.2118034386119
28,19.811563710043952,956.4587338601885,976.2702976901261,18.010982420053054,933.5997425348795,951.6107249549326
29,19.714731186394797,955.3336595343616,975.0483935951377,18.1459619505014,949.4279374468563,967.5738993973576
30,19.698750948939754,953.8799163895151,973.5786646274909,18.364905286191114,988.0165143077486,1006.38141959394
31,19.55635115555644,952.8958330283533,972.4521845147026,17.604458517957088,948.4110809445102,966.0155394624672
32,19.39578713523033,955.4739540050124,974.8697422032428,17.633953666117655,951.8822455603965,969.5161992265142
33,19.34470257480444,952.4031558761553,971.7478572328159,17.397883437427122,960.7860951067073,978.1839785441344
34,19.201709903614834,961.9941238358972,981.1958323032502,17.28903019691581,943.8753329331897,961.1643631301056
35,19.21405176202151,956.8314238076186,976.0454741841742,17.187022422676655,957.3392548089699,974.5262772316466
36,19.076274838516255,949.3543302687319,968.4306043711284,17.076013101606225,954.7632287472553,971.8392418488615
37,18.938068407259287,963.210965077435,982.1490342679491,17.135644330836055,975.6076510188834,992.7432953497195
38,18.859771004238453,959.5176317910125,978.3774033976416,17.01635879744345,967.3098164866004,984.3261752840439
39,18.851176389661045,959.2693936155209,978.1205698652884,17.053251187908117,985.3503062424409,1002.403557430349
40,18.81196665868838,952.8504268291015,971.66239347386,16.73653456958372,954.6457652636385,971.3822998332223
41,18.620883188049103,954.6711259456282,973.2920107727256,16.59393393445371,968.3294616091327,984.9233955435868
42,18.579685979017935,951.9227232298203,970.5024071875699,16.550330245743936,942.894954656748,959.445284902492
43,18.54541873369602,952.5726963672099,971.1181171985783,16.785055951929802,948.3511556572686,965.1362116091983
44,18.482043916195646,948.2268247526956,966.708869656784,16.485247511223182,968.8581671875005,985.3434146987236
45,18.439364838345707,954.6936387771033,973.13300520328,17.03406444948111,975.1668030541795,992.2008675036606
46,18.40617759050349,950.739712063079,969.1458877528174,16.32679752179046,984.4561370411813,1000.7829345629717
47,18.36730844517752,955.961174282717,974.3284844601276,16.360046231853428,949.0476103754715,965.407656607325
48,18.3661187584253,955.9754325663138,974.3415503838905,16.370899476008628,966.3277229392186,982.6986224152272
49,18.219018959644988,965.7071497894548,983.9261605343683,16.24655568592584,954.9963841357308,971.2429398216566
50,18.165822910331897,955.0108475361089,973.1766704254982,16.15916006515275,974.1066850158596,990.2658450810123
51,18.146170594441518,953.9626083279198,972.1087820219792,16.070886613077192,947.2199636790646,963.2908502921417
52,18.077820357177426,951.7618173058054,969.8396396769349,16.146942912998483,954.685783361556,970.8327262745545
53,18.02487491687667,945.7561111551213,963.7809844134823,16.18652103253265,963.2739982856065,979.4605193181392
54,17.986121138882943,961.4225601415058,979.4086787610083,15.73001640661439,939.2324333993391,954.9624498059535
55,17.927793986655516,955.6638568427669,973.5916471728301,16.04448024465077,981.7972389622023,997.8417192068531
