train_mse,train_mae,train_spearman,train_pearson,val_mse,val_mae,val_spearman,val_pearson,test_mse,test_mae,test_spearman,test_pearson
0.026937634994586308,0.13066481,0.02962219178914342,0.026558029728334986,0.029605736956000328,0.13770066,0.054482791303645625,0.07027735355978848,0.02571205236017704,0.12547442,0.22354057491128934,0.17798706894086536
0.014016647512714068,0.09125664,0.043527329665505994,0.04101511469079829,0.014466462191194296,0.09502962,0.06772335290088208,0.058653029456109174,0.01308138482272625,0.08790046,0.05832546694836406,0.033410141041656516
0.013299383843938509,0.0893349,0.14375339324147032,0.12686852551027053,0.016877053305506706,0.10818404,0.15060611004512642,0.11450646050928981,0.016773930750787258,0.10554218,0.05648620666686796,0.056664637703534027
0.01277396890024344,0.08872112,0.1890036435923025,0.1817665756937951,0.014315011445432901,0.09498994,0.11823636268267478,0.10484013792404312,0.013765845913439989,0.09051596,-0.024303332970501326,-0.03778687888643617
0.012615932617336512,0.085947484,0.19356571140187798,0.19459754469274534,0.013942936435341835,0.094457015,0.1571051694023913,0.19221396084874698,0.013197992462664843,0.08695273,0.1910266251581898,0.14274625959558307
0.012375845418622097,0.08769447,0.2413361859822911,0.23579999373415225,0.013942862395197153,0.093189046,0.21970082470554547,0.20959080168295952,0.012890624813735485,0.08526155,0.24594973682880705,0.20977414785988913
0.01217243696252505,0.08505707,0.27471165311928486,0.276113692254268,0.017090256791561842,0.105238706,0.11662768773055737,0.1326306626639564,0.014034970197826624,0.092426464,0.34685140695639305,0.30337852710198376
0.011957739324619373,0.0872027,0.3010885277068193,0.2998034433148433,0.014604058116674423,0.09367228,0.12612676223950256,0.16772281762351327,0.01179874362424016,0.08151307,0.3414669365619202,0.33055652438008565
0.011728209598610798,0.08427475,0.3184598461985691,0.31474965091083124,0.014910858124494553,0.09517625,0.14435530704735614,0.1805886753516006,0.011979194823652506,0.08279684,0.38104589306306924,0.3281820313525259
0.011177482393880686,0.08296504,0.3458845421520527,0.3634675977556867,0.015689924359321594,0.098218456,0.1443345849570815,0.16382949857217,0.012795942835509777,0.08478045,0.34429641947585726,0.30397159009737607
0.010761271851758162,0.08143068,0.39625635745302984,0.3978605050628043,0.01660747267305851,0.10316594,0.12259009893015098,0.13036749384913549,0.013251217547804117,0.08867289,0.34899988512710023,0.30633826545312814
0.010840635591497024,0.080839634,0.408558952807069,0.405005296566524,0.015814891550689936,0.099771336,0.23801527376072468,0.22890195292322346,0.012596981134265661,0.08593516,0.4298919345026563,0.3744181381487124
0.010782601311802864,0.081410535,0.417447854996078,0.41938630229792767,0.014335367362946272,0.09479721,0.22764065455506577,0.24523386933567792,0.011650072410702705,0.08044761,0.40508425274024856,0.3803795868574653
0.010250953026115894,0.07859475,0.45378470740326177,0.4470087847359423,0.015488706063479185,0.09786907,0.20835686023908445,0.20753893011219304,0.011975199449807405,0.08269822,0.3961754917045104,0.3776627250439333
0.010266133894522985,0.079443336,0.44937388931812894,0.44978410806848973,0.014500487130135298,0.09261829,0.2485876915469643,0.24038601261207315,0.011796455830335617,0.08149344,0.38437554855036427,0.3739368712016642
0.010405387729406357,0.07928873,0.4266949715419808,0.4434958032846528,0.017946859821677208,0.10719657,0.1503886302781931,0.16897655522185318,0.014227248728275299,0.09068322,0.3467598486693283,0.33684584932620965
0.010255252166340748,0.07922351,0.47541474859429017,0.4769965761828037,0.01570567488670349,0.09752922,0.2290160751690135,0.2186851286534477,0.012869542464613914,0.08474026,0.3787242445825909,0.360338054344723
0.009795079628626505,0.07761329,0.49744521142814535,0.5028180365682537,0.0158102260902524,0.10059318,0.18650888142369318,0.21835692426784448,0.012595649808645248,0.08398375,0.36882741502573513,0.3605865865249953
0.009659855936964354,0.07672932,0.4945995845583972,0.5057548762768155,0.01562562584877014,0.09555982,0.23322917378836927,0.2160396709256247,0.013041604775935411,0.084545046,0.35172310645303306,0.317308261843948
